node,net_revenue,offer_revenue,bid_revenue,days_active,total_offer_mw,total_bid_mw,hsl,rank
GAMBIT_RN,-8027.261250000001,-10695.306,2668.04475,184.0,1335.2,-914.8000000000001,100.0,233
SMTH_ESS_RN,-8260.365,-4444.093250000001,-3816.2717499999994,127.0,4077.2,-888.5,125.0,234
RPUBRDS_RN,-8279.047,-1646.399500000001,-6632.647500000001,181.0,10307.400000000001,-8000.6,39.5,235
GARC_BESS_RN,-8473.49427,-893.0385199999998,-7580.45575,180.0,2066.6,-4403.9,9.9,236
BRP_ZPT1_RN,-8497.404,-3673.0147500000003,-4824.38925,172.0,2186.1,-1190.7,10.0,237
LAUR_BESS_RN,-9063.86275,742.9640000000015,-9806.82675,184.0,22060.399999999998,-8149.1,9.8,238
LBRA_BES1,-9334.309459999999,850.5045000000003,-10184.81396,115.0,1862.4,-1906.6999999999998,200.0,239
BRHEIGHT_RN,-9557.97025,-7944.1182499999995,-1613.8519999999999,160.0,1830.4,-583.6,10.0,240
E_HARRIS_RN,-9942.197199999999,-2049.7304999999997,-7892.4667,177.0,920.7,-2968.0,9.9,241
CASL_GAP_UN1,-9980.37775,-2325.807249999999,-7654.5705000000025,184.0,14871.800000000001,-24494.8,3.9,242
EVLN_ESS_RN,-9997.692000000003,-3392.64775,-6605.04425,140.0,455.1,-830.3,220.0,243
MOORE_FL_RN,-10051.731729999996,-9324.948979999997,-726.7827499999999,181.0,7492.8,-1513.1,9.9,244
TV_RN,-10230.12475,-4640.36175,-5589.763,179.0,880.9,-1347.7,9.8,245
ANTL_ESS_ES1,-10340.510499999997,-18265.52875,7925.018250000001,182.0,2079.8,-2967.0,70.0,246
ANEM_ESS_RN,-10416.774750000011,-7300.704250000024,-3116.0705000000003,184.0,5722.4,-1808.8,200.0,247
HMNG_ESS_RN,-10420.046499999999,-6891.4387499999975,-3528.60775,183.0,3024.8,-5061.9,100.0,248
