node,net_revenue,offer_revenue,bid_revenue,days_active,hsl,avg_win_rate,avg_profit_loss_ratio,total_offer_mw,total_bid_mw,rank
SANDLAKE_RN,-3448.3932000000004,-333.4135,-3114.9797,133,9.9,57.622556390977444,24.180375939849622,680.9,-1925.3,173
PAVLOV_BT_RN,-3469.5292400000003,-1379.9315900000001,-2089.59765,199,9.9,37.77035175879397,10.862763819095477,2316.1,-5217.5,174
SADLBACK_RN,-3593.1645,-737.8384999999998,-2855.326,193,9.9,36.53678756476684,20.44523316062176,1103.5,-1391.1000000000001,175
DGFS_ESR_RN,-3737.24059,-2011.81659,-1725.424,185,75.0,34.73837837837838,16.484972972972972,383.1,-708.0,176
MADERO_RN,-3902.3289999999993,-3907.97925,5.650249999999904,196,100.0,37.155102040816324,15.11408163265306,3817.6,-2866.3,177
ESTONIAN_ALL,-4227.834999999999,113.24749999999995,-4341.0824999999995,197,101.6,36.703045685279186,12.42238578680203,3503.5,-2202.2,178
ADL_RN,-4248.35596,-1039.4554600000001,-3208.9005000000006,199,0.0,36.641708542713566,10.054824120603014,1854.4,-4985.2,179
HWY6_RN,-4485.646249999999,-4657.625,171.97875000000016,139,0.0,25.923741007194245,12.043597122302158,3291.4,-651.5,180
N_MRD_ESR_RN,-4647.815790000001,-4467.19259,-180.6232000000001,200,9.9,37.9535,17.8916,3537.4,-3058.1,181
MESQUITE_RN2,-4656.248,-3325.9725,-1330.2755,136,0.0,27.991911764705883,16.295514705882354,1941.6999999999998,-1069.0,182
SWOOSEII_RN,-4762.14525,-2026.20525,-2735.94,193,38.9,37.10621761658031,23.410829015544042,145.0,-8087.700000000001,183
L_FRE_ESR_RN,-4923.114669999999,-3473.12767,-1449.9869999999999,199,9.9,31.717587939698493,9.328140703517589,1286.2,-1119.7,184
BRP_PBL1_RN,-4932.1935,-7883.803,2951.6095,194,9.9,37.652061855670105,10.386958762886598,4604.5,-10814.7,185
FLTBES1,-4947.220499999999,126.22049999999979,-5073.441,192,8.5,37.48802083333333,21.780104166666664,1278.2,-1632.8,186
