rank,node,net_revenue,offer_revenue,bid_revenue,days_active,hsl,avg_win_rate,avg_profit_loss_ratio,total_offer_mw,total_bid_mw
191,HAMI_BESS_RN,-6318.295250000001,3918.4565000000002,-10236.751750000001,203,9.9,52.52918781725889,7.9730076142131985,1095.9,-7580.8
192,BRP_LOP1_RN,-6492.842999999999,-5882.727999999999,-610.1150000000006,201,9.9,33.54128205128205,16.50883333333333,6461.9,-6508.9
193,CTW_RN,-6512.71755,-3201.4648500000003,-3311.2527,201,150.0,44.401666666666664,7.161282051282051,3714.1,-1454.7
194,IND_INADALE1,-6561.208499999998,7994.155999999999,-14555.364499999996,206,9.9,44.185,7.872741666666667,9599.6,-6213.0
195,CNLY_ESS_RN,-6643.779409999999,-13973.67591,7329.8965,204,125.0,44.06843434343435,4.758005050505051,9395.699999999999,-2550.9
196,GZ_RN,-6787.836579999997,-3051.4543299999996,-3736.3822499999997,204,9.9,46.39368686868686,7.933434343434344,21210.7,-1816.4
197,ELSA_ESR_RN,-6883.3875499999995,-1672.1134999999995,-5211.27405,203,9.9,35.13815566835871,5.353815566835872,2282.8,-2895.1
198,MDWPK_RN,-6895.196,-8657.38775,1762.1917500000002,126,0.0,28.61746031746032,11.097539682539685,870.9,-2215.6
199,DSWL_BES1,-7047.142000000001,-2069.92475,-4977.217250000001,178,150.0,36.347771317829455,17.93066860465116,1414.7,-2946.7999999999997
200,GRDNE_ESR_RN,-7151.17009,-3418.1250899999995,-3733.045,205,9.9,42.26130653266332,8.328613902847572,2543.2,-2189.0
201,CR_RN,-7310.95941,-2118.1766599999996,-5192.78275,127,9.8,46.17031680440772,9.84488980716253,625.5,-1086.1
202,BSS_U1,-7411.7302500000005,-1336.4665000000005,-6075.263749999998,189,7.9,30.552459016393442,7.371475409836066,2999.8,-3529.8
203,BRP_PBL1_RN,-7575.0895,-9974.444,2399.3545,200,9.9,47.02603092783505,5.752646048109966,5338.3,-10864.7
204,GOODWIN_ESR,-7580.687409999999,-2457.340910000001,-5123.346500000001,202,9.9,40.05323129251701,8.456683673469389,14247.9,-2418.1
